iter	RMSE
0	0.1369068788
1	0.1318891103
2	0.1271979141
3	0.1228555775
4	0.1187688038
5	0.1149466283
6	0.1113765807
7	0.108070676
8	0.1049267149
9	0.1019866459
10	0.09922635506
11	0.09677225134
12	0.09452007459
13	0.09233195328
14	0.09024277228
15	0.08845269007
16	0.08680368075
17	0.08514543859
18	0.08360200784
19	0.082222437
20	0.0809121178
21	0.07976387706
22	0.0786619935
23	0.07769019827
24	0.07678499837
25	0.07597019893
26	0.07516941006
27	0.07442879504
28	0.07381900304
29	0.07322004261
30	0.07267277523
31	0.07213124336
32	0.07167885559
33	0.07121244893
34	0.07080455134
35	0.07044306238
36	0.07010102175
37	0.0697918339
38	0.06953225626
39	0.06924592148
40	0.06896548071
41	0.06875221989
42	0.06852996068
43	0.06834572353
44	0.0681354311
45	0.06797505091
46	0.06780500555
47	0.06765077403
48	0.0675228682
49	0.06738458831
50	0.06727687617
51	0.0671294894
52	0.06700847467
53	0.06688383425
54	0.06676727456
55	0.06664145353
56	0.06654082435
57	0.06643735327
58	0.06628481161
59	0.06619034366
60	0.06606399291
61	0.06597621818
62	0.06587733527
63	0.06579134109
64	0.06568036139
65	0.06558393721
66	0.06548654014
67	0.06539446368
68	0.06534417287
69	0.06527902783
70	0.06521405934
71	0.06512616296
72	0.06505458365
73	0.0650136503
74	0.06493798072
75	0.06484787619
76	0.06479988422
77	0.06475171583
78	0.06469703051
79	0.0646551317
80	0.06459839382
81	0.06455908551
82	0.06448838381
83	0.06445357214
84	0.06441449927
85	0.06438484512
86	0.06434149227
87	0.06429302434
88	0.06425984516
89	0.06420520976
90	0.06418665262
91	0.06413966577
92	0.06410247925
93	0.06406695432
94	0.06403948891
95	0.06401602444
96	0.06395140574
97	0.06393642316
98	0.06390599544
99	0.06388603325
100	0.06385540966
101	0.06382552073
102	0.06380083569
103	0.06377142001
104	0.06373771517
105	0.0637244813
106	0.06369317264
107	0.06366579414
108	0.0636503368
109	0.06362393548
110	0.06359865745
111	0.06355910681
112	0.06350368346
113	0.06347756526
114	0.06343861761
115	0.06339903176
116	0.06336332567
117	0.06333898342
118	0.06328729149
119	0.06326417449
120	0.06322286951
121	0.06319685912
122	0.06316822503
123	0.06314042626
124	0.06312630905
125	0.0630907405
126	0.06305636275
127	0.06303175265
128	0.06301430222
129	0.06298870423
130	0.06294376809
131	0.06292062786
132	0.06287274103
133	0.0628370487
134	0.06281659068
135	0.06280327091
136	0.06278696274
137	0.06275910124
138	0.06268585199
139	0.06266449599
140	0.06264590329
141	0.06263681335
142	0.06262169177
143	0.06258842208
144	0.06257393658
145	0.06254599482
146	0.06251479233
147	0.06248513519
148	0.06242646941
149	0.06239552883
150	0.06237915377
151	0.06236353904
152	0.06234730185
153	0.06232253252
154	0.06228396152
155	0.06226612611
156	0.06223538594
157	0.06217654943
158	0.06213621414
159	0.0621211892
160	0.06207209371
161	0.06206543775
162	0.06204784456
163	0.06200457546
164	0.06199167761
165	0.06197692361
166	0.06193290278
167	0.06191976911
168	0.06186500707
169	0.06184469689
170	0.06182709592
171	0.0618003205
172	0.06176879147
173	0.06168657701
174	0.06165760682
175	0.06159003482
176	0.06158134398
177	0.06156583188
178	0.06154627467
179	0.06150176682
180	0.06149033925
181	0.06147313936
182	0.06146140986
183	0.06142424977
184	0.06141579506
185	0.06136712483
186	0.06135688038
187	0.0613324547
188	0.06131812962
189	0.06130604124
190	0.06128556742
191	0.06127454054
192	0.06124756926
193	0.06121145885
194	0.06120208865
195	0.06116414409
196	0.0611416189
197	0.06111484227
198	0.06105727686
199	0.06102187494
200	0.06101038374
201	0.06095291121
202	0.06092332788
203	0.06091400358
204	0.06086982346
205	0.06082977607
206	0.06081466561
207	0.06079369244
208	0.06077273545
209	0.0607125596
210	0.06069980259
211	0.06065162442
212	0.06063669928
213	0.06063196089
214	0.06060994277
215	0.06058504809
216	0.0605768038
217	0.06053146889
218	0.06051218171
219	0.06046088643
220	0.06042752806
221	0.0604163017
222	0.06039728467
223	0.06034691168
224	0.06032728617
225	0.0603142436
226	0.06029412208
227	0.06025278506
228	0.06023660025
229	0.06019605611
230	0.06014907648
231	0.06013410601
232	0.06012424235
233	0.06009379871
234	0.06007539463
235	0.06006370551
236	0.06005293905
237	0.06004446127
238	0.06001145382
239	0.05997547209
240	0.05993153063
